platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
oliveyoung,A000000150460,[대용량] 식물나라 보송 페이스 앤 바디 선 스틱 30g (단품/1+1),선크림,식물나라,342,3.6432748538011697,109,4,229
oliveyoung,A000000151904,[5중프루프] 식물나라 워터프루프 선 크림 100mL,선크림,식물나라,327,3.8042813455657494,97,11,219
oliveyoung,A000000152767,에스트라 테라크네365 클리어 딥 클렌징 폼 200g,클렌징폼,에스트라,319,4.012539184952978,54,50,215
oliveyoung,A000000154175,일리윤 저자극 이지워시 선크림 150ML,선크림,일리윤,138,4.681159420289855,3,8,127
oliveyoung,A000000154644,[대용량/약산성] 라운드랩 1025 독도 클렌저 250ml,클렌징,라운드랩,330,3.7515151515151515,100,13,217
oliveyoung,A000000155253,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),토너,아비브,251,4.087649402390438,55,4,192
oliveyoung,A000000156007,[아침세안] 마녀공장 약산성 퓨리파잉 소다폼 150ml X2 기획,클렌징,마녀공장,327,3.8837920489296636,77,29,221
oliveyoung,A000000157350,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 30ml,스킨케어,디오디너리,381,3.645669291338583,118,9,254
oliveyoung,A000000158243,브링그린 프레시볼 팩 8g 8종,마스크팩,브링그린,345,3.802898550724638,96,6,243
oliveyoung,A000000158513,[리필기획] 메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 기획 (200ml+100ml 리필),클렌징,메이크프렘,378,4.0,79,41,258
oliveyoung,A000000158615,[트러블모공] 디오디너리 나이아신아마이드 10% + 징크 1% 60ml,스킨케어,디오디너리,369,3.6368563685636857,112,13,244
oliveyoung,A000000158752,[1등마스크] 토리든 시트 마스크 10매 4종(수분/진정/브라이트닝/모공),마스크팩,토리든,365,4.227397260273973,34,69,262
